query_id,database,category,name,query_template
27,Oracle Database,Join,self JOIN,"SELECT table1.{column_1}, table1.{column_2} FROM {table} table1, {table} table2 WHERE table1.{column_1} = table2.{column_1} AND table1.{column_2} <> table2.{column_2} AND ROWNUM <= {row} ORDER BY table1.{column_1}"
28,Oracle Database,Join,LEFT JOIN,"SELECT table1.{column_1}, table1.{column_2} FROM {table} table1 LEFT JOIN {table} table2 ON table1.{column_1} = table2.{column_1} WHERE table1.{column_2} <> table2.{column_2} AND ROWNUM <= {row}"
29,Oracle Database,Join,RIGHT JOIN,"SELECT table1.{column_1}, table1.{column_2} FROM {table} table1 RIGHT JOIN {table} table2 ON table1.{column_1} = table2.{column_1} WHERE table1.{column_2} <> table2.{column_2} AND ROWNUM <= {row}"
30,Oracle Database,Join,FULL JOIN,"SELECT table1.{column_1}, table1.{column_2} FROM {table} table1 FULL JOIN {table} table2 ON table1.{column_1} = table2.{column_1} WHERE table1.{column_2} <> table2.{column_2} AND ROWNUM <= {row}"
27,HANA,Join,self JOIN,"SELECT TOP {row} table1.{column_1}, table1.{column_2} FROM {table} table1 JOIN {table} table2 WHERE table1.{column_1} = table2.{column_1} AND table1.{column_2} <> table2.{column_2} ORDER BY table1.{column_1}"
28,HANA,Join,LEFT JOIN,"SELECT TOP {row} table1.{column_1}, table1.{column_2} FROM {table} table1 LEFT JOIN {table} table2 ON table1.{column_1} = table2.{column_1} WHERE table1.{column_2} <> table2.{column_2}"
29,HANA,Join,RIGHT JOIN,"SELECT TOP {row} table1.{column_1}, table1.{column_2} FROM {table} table1 RIGHT JOIN {table} table2 ON table1.{column_1} = table2.{column_1} WHERE table1.{column_2} <> table2.{column_2}"
30,HANA,Join,FULL JOIN,"SELECT TOP {row} table1.{column_1}, table1.{column_2} FROM {table} table1 FULL JOIN {table} table2 ON table1.{column_1} = table2.{column_1} WHERE table1.{column_2} <> table2.{column_2}"
27,Oracle Database In-Memory,Join,self JOIN,"SELECT table1.{column_1}, table1.{column_2} FROM {table} table1, {table} table2 WHERE table1.{column_1} = table2.{column_1} AND table1.{column_2} <> table2.{column_2} AND ROWNUM <= {row} ORDER BY table1.{column_1}"
28,Oracle Database In-Memory,Join,LEFT JOIN,"SELECT table1.{column_1}, table1.{column_2} FROM {table} table1 LEFT JOIN {table} table2 ON table1.{column_1} = table2.{column_1} WHERE table1.{column_2} <> table2.{column_2} AND ROWNUM <= {row}"
29,Oracle Database In-Memory,Join,RIGHT JOIN,"SELECT table1.{column_1}, table1.{column_2} FROM {table} table1 RIGHT JOIN {table} table2 ON table1.{column_1} = table2.{column_1} WHERE table1.{column_2} <> table2.{column_2} AND ROWNUM <= {row}"
30,Oracle Database In-Memory,Join,FULL JOIN,"SELECT table1.{column_1}, table1.{column_2} FROM {table} table1 FULL JOIN {table} table2 ON table1.{column_1} = table2.{column_1} WHERE table1.{column_2} <> table2.{column_2} AND ROWNUM <= {row}"
27,SQL Server,Join,self JOIN,"SELECT TOP {row} table1.{column_1}, table1.{column_2} FROM {table} table1 JOIN {table} table2 WHERE table1.{column_1} = table2.{column_1} AND table1.{column_2} <> table2.{column_2} ORDER BY table1.{column_1}"
28,SQL Server,Join,LEFT JOIN,"SELECT TOP {row} table1.{column_1}, table1.{column_2} FROM {table} table1 LEFT JOIN {table} table2 ON table1.{column_1} = table2.{column_1} WHERE table1.{column_2} <> table2.{column_2}"
29,SQL Server,Join,RIGHT JOIN,"SELECT TOP {row} table1.{column_1}, table1.{column_2} FROM {table} table1 RIGHT JOIN {table} table2 ON table1.{column_1} = table2.{column_1} WHERE table1.{column_2} <> table2.{column_2}"
30,SQL Server,Join,FULL JOIN,"SELECT TOP {row} table1.{column_1}, table1.{column_2} FROM {table} table1 FULL JOIN {table} table2 ON table1.{column_1} = table2.{column_1} WHERE table1.{column_2} <> table2.{column_2}"
